name,category,asr_model,genai_model,sum_num_words,coverage
abdomen,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,250,0.52
ademhaling,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,104,0.41346153846153844
auto-immuunziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,213,0.4084507042253521
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,377,0.38726790450928383
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,209,0.430622009569378
hartziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,240,0.44166666666666665
neurologie,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,288,0.3888888888888889
oncologie,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,355,0.3126760563380282
GGZ-exposure-therapie,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,335,0.6208955223880597
hulpverleners,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,428,0.6261682242990654
interview-113,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,197,0.6548223350253807
ouder-worden-2040,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,313,0.597444089456869
ouderen-zorg,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,426,0.5821596244131455
seksuele-voorlichting,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,350,0.6514285714285715
verzorgings-staat,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,378,0.6031746031746031
angststoornis,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,317,0.3753943217665615
antidepressiva,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,272,0.41911764705882354
baan,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,273,0.5201465201465202
intake-bedrijf,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,823,0.34264884568651277
misbruik,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,531,0.3352165725047081
studie,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,255,0.5333333333333333
vrijheden,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,406,0.32019704433497537
abdomen,Dokter Patient,gt,transcript_Gemini_3.1_Pro-high,225,0.49777777777777776
ademhaling,Dokter Patient,gt,transcript_Gemini_3.1_Pro-high,127,0.4330708661417323
auto-immuunziekten,Dokter Patient,gt,transcript_Gemini_3.1_Pro-high,162,0.49382716049382713
bewegingsapparaat,Dokter Patient,gt,transcript_Gemini_3.1_Pro-high,245,0.4530612244897959
diabetes,Dokter Patient,gt,transcript_Gemini_3.1_Pro-high,176,0.45454545454545453
hartziekten,Dokter Patient,gt,transcript_Gemini_3.1_Pro-high,362,0.30662983425414364
neurologie,Dokter Patient,gt,transcript_Gemini_3.1_Pro-high,208,0.4182692307692308
oncologie,Dokter Patient,gt,transcript_Gemini_3.1_Pro-high,376,0.2845744680851064
GGZ-exposure-therapie,interviews,gt,transcript_Gemini_3.1_Pro-high,415,0.6771084337349398
