name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_gpt-5.4-mini_medium,211,"[0.7245, 0.72519, 0.72485]",0.22566371681415928,0.01929822256670301,1.080568720379147,0.0,0.4949810401751445
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_gpt-5.4-mini_medium,248,"[0.66038, 0.65846, 0.65942]",0.4647887323943662,0.028695652173913042,1.1370967741935485,0.0,0.2911742352522336
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.4-mini_medium,223,"[0.72536, 0.72343, 0.72439]",0.3380281690140845,0.026388642413487134,1.1659192825112108,0.0,0.3620060235261917
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.4-mini_medium,182,"[0.72448, 0.7189, 0.72168]",0.359375,0.022314892039662682,1.0769230769230769,0.0,0.3153400535766895
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.4-mini_medium,191,"[0.76423, 0.75822, 0.76121]",0.4114583333333333,0.023111852469650633,1.2722513089005236,0.0,0.2811067207501485
kpni-arts,interviews,gt,transcript_gpt-5.4-mini_medium,227,"[1.0, 1.0, 1.0]",1.0,0.021426413210546367,1.0704845814977975,0.0,0.5207974594086409
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.4-mini_medium,185,"[0.76261, 0.75772, 0.76016]",0.40625,0.022240756185710316,1.2918918918918918,0.0,0.3268914831181367
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.4-mini_medium,229,"[0.66535, 0.68817, 0.67657]",0.252212389380531,0.0207564272671142,1.056768558951965,0.0,0.5314142746584756
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.4-mini_medium,218,"[0.70087, 0.7076, 0.70422]",0.26991150442477874,0.019941934551569212,1.0458715596330275,0.0,0.5280636187110629
ouderen-zorg-2,interviews,gt,transcript_gpt-5.4-mini_medium,214,"[1.0, 1.0, 1.0]",1.0,0.02541259982253771,1.1355140186915889,0.0,0.2800406900544961
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_gpt-5.4-mini_medium,211,"[0.67924, 0.65132, 0.66499]",0.37089201877934275,0.024755989352262645,1.3080568720379147,0.0,0.3081391148946502
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_gpt-5.4-mini_medium,184,"[0.69695, 0.70659, 0.70174]",0.3385416666666667,0.02211101844129367,1.190217391304348,0.0,0.3147638502220313
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.4-mini_medium,218,"[0.7036, 0.69699, 0.70028]",0.28169014084507044,0.02557231588287489,1.1330275229357798,0.0,0.2955471334549097
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.4-mini_medium,213,"[0.70348, 0.69781, 0.70063]",0.30985915492957744,0.024578527062999112,1.0892018779342723,0.0,0.4186795892623755
kpni-arts,interviews,Cohere Labs Transcribe,transcript_gpt-5.4-mini_medium,251,"[0.67951, 0.69076, 0.68509]",0.34513274336283184,0.022897754890240537,1.2270916334661355,0.0,0.5304747859636942
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.4-mini_medium,240,"[0.7403, 0.73859, 0.73944]",0.3008849557522124,0.021636604879074105,1.0625,0.0,0.5501567646861076
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_gpt-5.4-mini_medium,209,"[0.79199, 0.77155, 0.78163]",0.4739583333333333,0.026466499860995273,1.1100478468899522,0.0,0.3879218819240729
verpleegkundige gevangenis,interviews,gt,transcript_gpt-5.4-mini_medium,193,"[1.0, 1.0, 1.0]",1.0,0.02392734686312668,1.4093264248704662,0.0,0.27342192145685357
