name,category,asr_model,genai_model,sum_num_words,coverage
abdomen,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5,378,0.4444444444444444
ademhaling,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5,176,0.4602272727272727
auto-immuunziekten,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5,383,0.6840731070496083
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5,442,0.47058823529411764
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5,260,0.46923076923076923
hartziekten,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5,355,0.30985915492957744
neurologie,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5,205,0.5317073170731708
oncologie,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5,377,0.4244031830238727
GGZ-exposure-therapie,interviews,Cohere Labs Transcribe,transcript_GPT-5,487,0.5913757700205339
hulpverleners,interviews,Cohere Labs Transcribe,transcript_GPT-5,450,0.7311111111111112
interview-113,interviews,Cohere Labs Transcribe,transcript_GPT-5,493,0.5354969574036511
ouder-worden-2040,interviews,Cohere Labs Transcribe,transcript_GPT-5,345,0.5884057971014492
ouderen-zorg,interviews,Cohere Labs Transcribe,transcript_GPT-5,545,0.5174311926605505
seksuele-voorlichting,interviews,Cohere Labs Transcribe,transcript_GPT-5,444,0.6463963963963963
verzorgings-staat,interviews,Cohere Labs Transcribe,transcript_GPT-5,464,0.5797413793103449
angststoornis,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5,361,0.39335180055401664
antidepressiva,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5,635,0.3763779527559055
baan,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5,442,0.45475113122171945
intake-bedrijf,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5,650,0.4815384615384615
misbruik,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5,507,0.378698224852071
studie,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5,255,0.596078431372549
vrijheden,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5,426,0.34507042253521125
abdomen,Dokter Patient,gt,transcript_GPT-5,475,0.37894736842105264
ademhaling,Dokter Patient,gt,transcript_GPT-5,161,0.4409937888198758
auto-immuunziekten,Dokter Patient,gt,transcript_GPT-5,349,0.5931232091690545
bewegingsapparaat,Dokter Patient,gt,transcript_GPT-5,501,0.3592814371257485
diabetes,Dokter Patient,gt,transcript_GPT-5,397,0.3853904282115869
hartziekten,Dokter Patient,gt,transcript_GPT-5,367,0.3242506811989101
neurologie,Dokter Patient,gt,transcript_GPT-5,477,0.32075471698113206
oncologie,Dokter Patient,gt,transcript_GPT-5,377,0.35013262599469497
GGZ-exposure-therapie,interviews,gt,transcript_GPT-5,533,0.5853658536585366
hulpverleners,interviews,gt,transcript_GPT-5,566,0.666077738515901
interview-113,interviews,gt,transcript_GPT-5,412,0.5922330097087378
ouder-worden-2040,interviews,gt,transcript_GPT-5,320,0.6125
ouderen-zorg,interviews,gt,transcript_GPT-5,475,0.5473684210526316
seksuele-voorlichting,interviews,gt,transcript_GPT-5,417,0.697841726618705
verzorgings-staat,interviews,gt,transcript_GPT-5,499,0.5490981963927856
angststoornis,Psychologische gespreksvoering,gt,transcript_GPT-5,374,0.46524064171123
antidepressiva,Psychologische gespreksvoering,gt,transcript_GPT-5,668,0.28892215568862273
baan,Psychologische gespreksvoering,gt,transcript_GPT-5,576,0.4131944444444444
intake-bedrijf,Psychologische gespreksvoering,gt,transcript_GPT-5,680,0.3985294117647059
misbruik,Psychologische gespreksvoering,gt,transcript_GPT-5,673,0.32838038632986627
studie,Psychologische gespreksvoering,gt,transcript_GPT-5,412,0.46116504854368934
vrijheden,Psychologische gespreksvoering,gt,transcript_GPT-5,598,0.3394648829431438
abdomen,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5,268,0.6305970149253731
ademhaling,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5,107,0.3925233644859813
auto-immuunziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5,293,0.5563139931740614
bewegingsapparaat,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5,444,0.4617117117117117
diabetes,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5,277,0.5234657039711191
hartziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5,345,0.2985507246376812
neurologie,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5,523,0.30210325047801145
oncologie,Dokter Patient,NVIDIA Canary 1B v2,transcript_GPT-5,349,0.39255014326647564
GGZ-exposure-therapie,interviews,NVIDIA Canary 1B v2,transcript_GPT-5,556,0.6276978417266187
hulpverleners,interviews,NVIDIA Canary 1B v2,transcript_GPT-5,457,0.7352297592997812
interview-113,interviews,NVIDIA Canary 1B v2,transcript_GPT-5,493,0.5679513184584178
ouder-worden-2040,interviews,NVIDIA Canary 1B v2,transcript_GPT-5,502,0.5836653386454184
ouderen-zorg,interviews,NVIDIA Canary 1B v2,transcript_GPT-5,514,0.5700389105058365
verzorgings-staat,interviews,NVIDIA Canary 1B v2,transcript_GPT-5,366,0.6120218579234973
angststoornis,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5,270,0.44814814814814813
antidepressiva,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5,660,0.3106060606060606
baan,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5,422,0.4597156398104265
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5,619,0.39418416801292405
misbruik,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5,452,0.3606194690265487
studie,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5,251,0.50199203187251
vrijheden,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_GPT-5,571,0.3134851138353765
abdomen,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5,281,0.5871886120996441
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5,132,0.4393939393939394
auto-immuunziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5,353,0.5694050991501416
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5,465,0.44946236559139785
diabetes,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5,242,0.5206611570247934
hartziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5,338,0.3431952662721893
neurologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5,401,0.3865336658354115
oncologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5,381,0.3753280839895013
GGZ-exposure-therapie,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5,464,0.6271551724137931
