name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,377,"[0.74224, 0.73634, 0.73928]",0.32786885245901637,0.8031212484993998,0.843501326259947,0.0,0.3347099450017725
verzorgings-staat,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro-high,366,"[0.67332, 0.68861, 0.68088]",0.25263157894736843,0.0872485619350459,1.1612021857923498,0.0,0.31875051334500315
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,209,"[0.761, 0.76261, 0.76181]",0.3942857142857143,0.44098528908655493,0.6698564593301436,0.0,0.22295064505721843
hulpverleners,interviews,gt,transcript_Gemini_3.1_Pro-high,588,"[1.0, 1.0, 1.0]",1.0,0.2957159997176936,1.4557823129251701,0.0,0.5199874754656445
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro-high,117,"[0.743, 0.75592, 0.74941]",0.373015873015873,0.7023346303501945,0.717948717948718,0.0,0.2085053636027234
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro-high,257,"[0.69399, 0.67874, 0.68628]",0.4016393442622951,0.4996998799519808,0.9299610894941635,0.0,0.28575704031084714
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,384,"[0.69968, 0.71452, 0.70702]",0.2608695652173913,0.10560275298419185,1.1328125,0.0,0.54518817537106
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro-high,114,"[0.77305, 0.79441, 0.78359]",0.4603174603174603,0.6624513618677043,0.8508771929824561,0.0,0.1207154890788453
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,311,"[0.70924, 0.70202, 0.70561]",0.42028985507246375,0.4710351377018044,0.8713826366559485,0.0,0.40793687719851734
abdomen,Dokter Patient,gt,transcript_Gemini_3.1_Pro-high,225,"[1.0, 1.0, 1.0]",1.0,0.4846083511124657,0.9777777777777777,0.0,0.3413986467889377
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,269,"[0.5779, 0.54761, 0.56235]",0.30303030303030304,0.22997522708505366,0.9776951672862454,0.0,0.22567615006119013
verzorgings-staat,interviews,gt,transcript_Gemini_3.1_Pro-high,476,"[1.0, 1.0, 1.0]",1.0,0.11393761835006609,1.1743697478991597,0.0,0.3188518390059471
diabetes,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro-high,252,"[0.67878, 0.6678, 0.67324]",0.37142857142857144,0.6079370509750257,0.6507936507936508,0.0,0.2645389317638344
intake-bedrijf,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,753,"[0.63599, 0.68419, 0.65921]",0.27850467289719627,0.373482428115016,0.6719787516600265,0.0,0.2946574935955661
angststoornis,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,394,"[0.72771, 0.72578, 0.72674]",0.3155893536121673,0.951004582305252,0.5786802030456852,0.0,0.3722032839432359
interview-113,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro-high,311,"[0.62886, 0.64433, 0.6365]",0.3535714285714286,0.24346464281411878,0.9581993569131833,0.0,0.34637763584032655
misbruik,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro-high,427,"[0.61898, 0.60038, 0.60954]",0.3383177570093458,0.29948126801152736,0.6135831381733021,0.0,0.39470217348291325
hartziekten,Dokter Patient,gt,transcript_Gemini_3.1_Pro-high,362,"[1.0, 1.0, 1.0]",1.0,0.6512237762237763,0.5276243093922652,0.0,0.27058614924550056
ouder-worden-2040,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro-high,327,"[0.65715, 0.66138, 0.65926]",0.2363013698630137,0.20338244268154476,1.1865443425076452,0.0,0.47489944144206886
diabetes,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,413,"[0.84255, 0.83522, 0.83887]",0.52,0.8898392062949025,0.4092009685230024,0.0,0.28948701046673314
bewegingsapparaat,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,232,"[0.73016, 0.72904, 0.7296]",0.35655737704918034,0.45738295318127253,0.9655172413793104,0.0,0.22629745254913966
hartziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,240,"[0.76222, 0.72869, 0.74508]",0.23268698060941828,0.4664918414918415,0.9166666666666666,0.0,0.2681989409029484
vrijheden,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro-high,259,"[0.65725, 0.67892, 0.66791]",0.19540229885057472,0.25301204819277107,0.5868725868725869,0.0,0.11454975977540016
verzorgings-staat,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro-high,357,"[0.52341, 0.55057, 0.53665]",0.2168421052631579,0.08674836542927579,1.1428571428571428,0.0,0.3610907047986984
oncologie,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,362,"[0.70936, 0.69599, 0.70261]",0.3333333333333333,0.7249348958333334,0.6215469613259669,0.0,0.24219712325268322
intake-bedrijf,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro-high,595,"[0.54009, 0.56298, 0.5513]",0.2560747663551402,0.30255591054313097,0.7092436974789916,0.0,0.2730104665864598
studie,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro-high,223,"[0.50439, 0.46345, 0.48306]",0.2053872053872054,0.19694467382328654,1.2242152466367713,0.0,0.2064104756961266
studie,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,255,"[0.55453, 0.53495, 0.54456]",0.3468013468013468,0.21703826039086155,0.9803921568627451,0.0,0.20936816443617529
auto-immuunziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro-high,190,"[0.6278, 0.61463, 0.62114]",0.2795031055900621,0.35051546391752575,0.8894736842105263,0.0,0.30658892701779095
seksuele-voorlichting,interviews,gt,transcript_Gemini_3.1_Pro-high,338,"[1.0, 1.0, 1.0]",1.0,0.15591506572295247,1.3698224852071006,0.0,0.33073849562141633
abdomen,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro-high,297,"[0.6764, 0.70271, 0.6893]",0.3794642857142857,0.6150563852483999,1.0067340067340067,0.0,0.4379416797310114
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro-high,667,"[0.64893, 0.66323, 0.656]",0.29345794392523367,0.33738019169329075,0.5967016491754122,0.0,0.3413494260505188
GGZ-exposure-therapie,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro-high,384,"[0.68101, 0.69084, 0.68589]",0.3115942028985507,0.09735813886797863,1.0416666666666667,0.0,0.5169172607935392
vrijheden,Psychologische gespreksvoering,gt,transcript_Gemini_3.1_Pro-high,436,"[1.0, 1.0, 1.0]",1.0,0.41247342310418145,0.44954128440366975,0.0,0.2927415178024343
hulpverleners,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro-high,404,"[0.60024, 0.65725, 0.62745]",0.2504258943781942,0.20022584515491565,1.6856435643564356,0.0,0.5155288062989711
ademhaling,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro-high,88,"[0.69389, 0.67885, 0.68628]",0.29365079365079366,0.5457198443579766,0.7954545454545454,0.0,0.2804643229270975
ouder-worden-2040,interviews,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,297,"[0.66236, 0.66519, 0.66377]",0.2773972602739726,0.1724348356725656,1.0134680134680134,0.0,0.48408673372533584
misbruik,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro-high,525,"[0.75341, 0.75184, 0.75263]",0.3532710280373832,0.3822478386167147,0.5866666666666667,0.0,0.40561183790365857
auto-immuunziekten,Dokter Patient,gt,transcript_Gemini_3.1_Pro-high,162,"[1.0, 1.0, 1.0]",1.0,0.2916440586001085,0.8641975308641975,0.0,0.16202718733499447
GGZ-exposure-therapie,interviews,gt,transcript_Gemini_3.1_Pro-high,415,"[1.0, 1.0, 1.0]",1.0,0.10628382980248773,1.2216867469879518,0.0,0.5491082800759209
vrijheden,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,406,"[0.63138, 0.63326, 0.63232]",0.12413793103448276,0.4161587526576896,0.43842364532019706,0.0,0.31696160197257994
