name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_(High),558,"[0.5829, 0.65178, 0.61542]",0.22432432432432434,0.06781308705876171,1.1612903225806452,0.0,0.6047535331712829
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_(High),513,"[0.72869, 0.72082, 0.72473]",0.24254742547425473,0.06894409937888199,1.2982456140350878,0.0,0.3781331055439435
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_(High),622,"[0.72357, 0.74629, 0.73475]",0.2859078590785908,0.07758651286601598,1.0546623794212218,0.0,0.2922175798950524
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_(High),585,"[0.8117, 0.81885, 0.81526]",0.28421052631578947,0.08366231118524696,1.0905982905982905,0.0,0.42247964261934673
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_(High),626,"[0.64981, 0.68085, 0.66496]",0.3112781954887218,0.08811046242238903,1.2539936102236422,0.0,0.35224095227256896
kpni-arts,interviews,gt,transcript_Gemini_3.5_Flash_(High),741,"[1.0, 1.0, 1.0]",1.0,0.08406353043181251,1.1929824561403508,0.0,0.6412161365151405
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_(High),640,"[0.78256, 0.79969, 0.79104]",0.2646616541353383,0.09748864794736355,1.0078125,0.0,0.33710097542830875
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_(High),744,"[0.70282, 0.71301, 0.70788]",0.22027027027027027,0.08642818670274957,0.9932795698924731,0.0,0.6125824905412142
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_(High),647,"[0.73544, 0.7583, 0.7467]",0.22837837837837838,0.07639153453055005,1.304482225656878,0.0,0.6517306115382757
ouderen-zorg-2,interviews,gt,transcript_Gemini_3.5_Flash_(High),739,"[1.0, 1.0, 1.0]",1.0,0.09582963620230701,1.1705006765899866,0.0,0.35476528792767914
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_(High),564,"[0.77041, 0.79091, 0.78052]",0.2953929539295393,0.07196095829636202,1.1187943262411348,0.0,0.37817316445020527
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_(High),709,"[0.72823, 0.73666, 0.73242]",0.3398496240601504,0.09910110277082754,1.1015514809590974,0.0,0.36484443356056473
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_(High),699,"[0.71652, 0.73216, 0.72425]",0.2845528455284553,0.08614019520851819,1.1244635193133048,0.0,0.3354929323707308
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_(High),482,"[0.71434, 0.73899, 0.72645]",0.28184281842818426,0.06372670807453416,1.2199170124481329,0.0,0.36380258357773226
kpni-arts,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_(High),670,"[0.74132, 0.73313, 0.7372]",0.24594594594594596,0.08188279187083722,1.2686567164179106,0.0,0.6103303947231986
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_(High),754,"[0.69631, 0.7244, 0.71008]",0.23378378378378378,0.08939714402070388,1.2281167108753315,0.0,0.650100402692531
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_(High),732,"[0.58329, 0.60728, 0.59504]",0.3323308270676692,0.11031415068112316,0.9562841530054644,0.0,0.3766571828761162
verpleegkundige gevangenis,interviews,gt,transcript_Gemini_3.5_Flash_(High),666,"[1.0, 1.0, 1.0]",1.0,0.0973403762394588,1.072072072072072,0.0,0.3652329715486202
