name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,165,"[0.72237, 0.72932, 0.72583]",0.4233128834355828,0.32593037214885956,0.6606060606060606,0.0,0.3473218664526939
verzorgings-staat,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro_Low,119,"[0.47017, 0.47541, 0.47278]",0.22018348623853212,0.030297616920933225,1.1428571428571428,0.0,0.4028550411264102
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,150,"[0.56761, 0.59302, 0.58004]",0.2465753424657534,0.3414300376325693,0.47333333333333333,0.0,0.2794618464329026
hulpverleners,interviews,gt,transcript_Gemini_3.1_Pro_Low,102,"[1.0, 1.0, 1.0]",1.0,0.05815512739078269,1.4607843137254901,0.0,0.4146526902914047
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro_Low,82,"[0.81189, 0.74998, 0.77971]",0.44761904761904764,0.5019455252918288,0.6219512195121951,0.0,0.23437200784683226
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro_Low,242,"[0.70626, 0.731, 0.71842]",0.3558282208588957,0.4849939975990396,0.5289256198347108,0.0,0.2213952380877275
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro_Low,112,"[0.59547, 0.59199, 0.59373]",0.20930232558139536,0.03186722586658063,0.9464285714285714,0.0,0.5428729603687922
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro_Low,150,"[0.61311, 0.6468, 0.62951]",0.3333333333333333,0.9231517509727627,0.22666666666666666,0.0,0.11333379298448562
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro_Low,259,"[0.73938, 0.73032, 0.73482]",0.33962264150943394,0.38342830009496676,0.7413127413127413,0.0,0.3045238209888339
abdomen,Dokter Patient,gt,transcript_Gemini_3.1_Pro_Low,285,"[1.0, 1.0, 1.0]",1.0,0.581225236208473,0.7684210526315789,0.0,0.4174713504811128
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro_Low,264,"[0.45703, 0.47286, 0.46481]",0.17142857142857143,0.23286540049545829,0.6363636363636364,0.0,0.15388134637704262
verzorgings-staat,interviews,gt,transcript_Gemini_3.1_Pro_Low,110,"[1.0, 1.0, 1.0]",1.0,0.029761692093322377,1.1,0.0,0.3429383173584938
diabetes,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro_Low,203,"[0.60493, 0.6359, 0.62003]",0.3287671232876712,0.46835443037974683,0.6502463054187192,0.0,0.2941319637677886
intake-bedrijf,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro_Low,297,"[0.44239, 0.47395, 0.45763]",0.1308016877637131,0.15726837060702875,0.8148148148148148,0.0,0.23776695059819353
angststoornis,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro_Low,263,"[0.56811, 0.6118, 0.58915]",0.3076923076923077,0.5886499823757491,0.5931558935361216,0.0,0.1807781383395195
interview-113,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro_Low,124,"[0.6031, 0.57909, 0.59085]",0.11382113821138211,0.10360197566558246,1.0403225806451613,0.0,0.34158376790583134
misbruik,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro_Low,352,"[0.47899, 0.50161, 0.49004]",0.20220588235294118,0.2674351585014409,0.4034090909090909,0.0,0.3009140659123659
hartziekten,Dokter Patient,gt,transcript_Gemini_3.1_Pro_Low,185,"[1.0, 1.0, 1.0]",1.0,0.3377039627039627,0.6756756756756757,0.0,0.24082129133435395
