name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_(Medium),693,"[0.59622, 0.6486, 0.62131]",0.2521489971346705,0.08636250180633465,1.380952380952381,0.0,0.5753507992705783
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_(Medium),691,"[0.74945, 0.75038, 0.74991]",0.4015151515151515,0.08846495119787046,1.0289435600578871,0.0,0.3519048844323014
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_(Medium),544,"[0.67234, 0.64836, 0.66013]",0.2897727272727273,0.07194321206743567,1.0386029411764706,0.0,0.36738381783167523
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_(Medium),607,"[0.80831, 0.80914, 0.80872]",0.35828025477707004,0.09218793438976926,1.0626029654036244,0.0,0.36996484494635035
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_(Medium),604,"[0.58694, 0.59889, 0.59286]",0.30254777070063693,0.08988972291724585,0.9950331125827815,0.0,0.26299005933105946
kpni-arts,interviews,gt,transcript_Gemini_3.5_Flash_(Medium),699,"[1.0, 1.0, 1.0]",1.0,0.08448391376886799,1.045779685264664,0.0,0.6478182665812664
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_(Medium),652,"[0.79145, 0.81307, 0.80211]",0.3837579617834395,0.09572792141599482,1.1441717791411044,0.0,0.3704610649496317
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_(Medium),645,"[0.70018, 0.66704, 0.68321]",0.2664756446991404,0.07252926262135284,1.1271317829457363,0.0,0.6379672374044146
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_(Medium),602,"[0.72537, 0.70055, 0.71274]",0.24785100286532952,0.07195123553290156,1.4634551495016612,0.0,0.6190678223091013
ouderen-zorg-2,interviews,gt,transcript_Gemini_3.5_Flash_(Medium),529,"[1.0, 1.0, 1.0]",1.0,0.07080745341614907,1.2495274102079394,0.0,0.38911626846702013
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_(Medium),679,"[0.70498, 0.6737, 0.68898]",0.3768939393939394,0.08997338065661047,1.2606774668630338,0.0,0.3094079107046127
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_(Medium),678,"[0.7853, 0.79098, 0.78813]",0.3662420382165605,0.0998980632008155,1.0486725663716814,0.0,0.300827241943855
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_(Medium),513,"[0.65398, 0.64393, 0.64892]",0.2689393939393939,0.06828748890860692,1.115009746588694,0.0,0.3371514404813449
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_(Medium),752,"[0.74122, 0.7115, 0.72606]",0.32954545454545453,0.09691215616681455,1.1808510638297873,0.0,0.3524982697869602
kpni-arts,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_(Medium),721,"[0.53777, 0.62142, 0.57657]",0.2177650429799427,0.08089751842461344,1.3398058252427185,0.0,0.5706453382968902
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_(Medium),644,"[0.71879, 0.74087, 0.72966]",0.25501432664756446,0.0815018194716307,1.1972049689440993,0.0,0.5773811695667413
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_(Medium),517,"[0.74608, 0.73319, 0.73958]",0.2754777070063694,0.07832452970067649,1.1102514506769825,0.0,0.33880482062145517
verpleegkundige gevangenis,interviews,gt,transcript_Gemini_3.5_Flash_(Medium),629,"[1.0, 1.0, 1.0]",1.0,0.09279955518487629,1.066772655007949,0.0,0.3840296744235924
