name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_gpt-5.5 high,583,"[0.69197, 0.71262, 0.70214]",0.42604501607717044,0.057277229673808806,1.0274442538593482,0.0,0.5830190770509767
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_gpt-5.5 high,684,"[0.7864, 0.80509, 0.79564]",0.4468390804597701,0.08452528837622006,1.182748538011696,0.0,0.3620953820645809
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.5 high,650,"[0.7699, 0.78512, 0.77743]",0.34339080459770116,0.08076308784383318,1.1492307692307693,0.0,0.3736496014012532
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.5 high,743,"[0.80963, 0.82077, 0.81516]",0.5006134969325153,0.09624687239366138,1.1776581426648722,0.0,0.3385943368215252
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.5 high,742,"[0.79417, 0.79133, 0.79275]",0.47730061349693254,0.09745158002038735,1.0929919137466306,0.0,0.37182648690803993
kpni-arts,interviews,gt,transcript_gpt-5.5 high,623,"[1.0, 1.0, 1.0]",1.0,0.05847269478856032,1.1075441412520064,0.0,0.5599907621303025
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.5 high,735,"[0.81791, 0.81202, 0.81496]",0.4883435582822086,0.09544991196367343,1.1319727891156464,0.0,0.3370098345395591
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.5 high,618,"[0.74323, 0.74098, 0.74211]",0.41639871382636656,0.059720707820443766,0.9466019417475728,0.0,0.561325974415901
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.5 high,621,"[0.64644, 0.68066, 0.6631]",0.3520900321543408,0.05940542031765216,1.0917874396135265,0.0,0.5683419875973879
ouderen-zorg-2,interviews,gt,transcript_gpt-5.5 high,697,"[1.0, 1.0, 1.0]",1.0,0.0890150842945874,1.114777618364419,0.0,0.3663759527970915
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_gpt-5.5 high,585,"[0.74823, 0.76396, 0.75602]",0.3764367816091954,0.07442768411712511,1.0888888888888888,0.0,0.4105700114092162
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_gpt-5.5 high,705,"[0.74248, 0.74399, 0.74323]",0.47730061349693254,0.09261421554999537,1.146099290780142,0.0,0.38690792288292536
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.5 high,602,"[0.73247, 0.73943, 0.73594]",0.37787356321839083,0.07614906832298136,1.101328903654485,0.0,0.40250778277503685
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.5 high,633,"[0.73912, 0.75708, 0.74799]",0.3764367816091954,0.08028393966282166,1.0932069510268563,0.0,0.38581984727220103
kpni-arts,interviews,Cohere Labs Transcribe,transcript_gpt-5.5 high,646,"[0.75524, 0.73516, 0.74506]",0.3327974276527331,0.062400651594172435,1.0743034055727554,0.0,0.5768443581958612
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.5 high,620,"[0.70862, 0.74266, 0.72524]",0.3665594855305466,0.05936600937980321,1.0580645161290323,0.0,0.5422104537869111
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_gpt-5.5 high,786,"[0.76782, 0.77409, 0.77094]",0.47116564417177914,0.1021777407098508,1.0356234096692112,0.0,0.36091915338554165
verpleegkundige gevangenis,interviews,gt,transcript_gpt-5.5 high,816,"[1.0, 1.0, 1.0]",1.0,0.10523584468538597,1.1237745098039216,0.0,0.33366408239711415
