name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5.4 high,480,"[0.83591, 0.80637, 0.82088]",0.44016227180527384,0.9270708283313326,1.1729166666666666,0.0,0.38543375954031944
verzorgings-staat,interviews,NVIDIA Canary 1B v2,transcript_GPT-5.4 high,737,"[0.68821, 0.65844, 0.673]",0.37279335410176534,0.1821787130658473,1.887381275440977,0.0,0.30113166724813395
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5.4 high,418,"[0.75966, 0.72717, 0.74306]",0.494279176201373,0.938761546356483,1.0956937799043063,0.0,0.38784289011551487
hulpverleners,interviews,gt,transcript_GPT-5.4 high,673,"[1.0, 1.0, 1.0]",1.0,0.3368621638788905,2.9390787518573553,0.0,0.5143446371410832
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_GPT-5.4 high,331,"[0.64138, 0.71441, 0.67593]",0.450199203187251,2.0262645914396886,0.8610271903323263,0.0,0.2410866112581321
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,642,"[0.76057, 0.74847, 0.75447]",0.46247464503042596,1.2584033613445378,1.0358255451713396,0.0,0.41472077248213085
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_GPT-5.4 high,618,"[0.69004, 0.73567, 0.71212]",0.396969696969697,0.1638168978743234,1.4838187702265373,0.0,0.49053973776678883
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_GPT-5.4 high,295,"[0.79925, 0.81284, 0.80599]",0.50199203187251,1.7334630350194553,0.7796610169491526,0.0,0.22665596351419626
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_GPT-5.4 high,571,"[0.68864, 0.68682, 0.68773]",0.4389312977099237,0.8247863247863247,1.299474605954466,0.0,0.470112379583897
abdomen,Dokter Patient,gt,transcript_GPT-5.4 high,454,"[1.0, 1.0, 1.0]",1.0,0.9341664126790613,1.2951541850220265,0.0,0.43274807021953166
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_GPT-5.4 high,782,"[0.54724, 0.56942, 0.55811]",0.38387096774193546,0.6398293421414809,1.1381074168797953,0.0,0.381440138651265
