name,category,asr_model,genai_model,sum_num_words,coverage
abdomen,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,197,0.4619289340101523
ademhaling,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,74,0.43243243243243246
auto-immuunziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,130,0.46153846153846156
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,165,0.3696969696969697
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,150,0.35333333333333333
hartziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,179,0.3743016759776536
neurologie,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,154,0.37662337662337664
oncologie,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,171,0.4093567251461988
GGZ-exposure-therapie,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,124,0.6612903225806451
hulpverleners,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,147,0.7006802721088435
interview-113,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,131,0.5877862595419847
ouder-worden-2040,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,139,0.6187050359712231
ouderen-zorg,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,141,0.6524822695035462
seksuele-voorlichting,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,135,0.7333333333333333
verzorgings-staat,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,142,0.676056338028169
angststoornis,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,351,0.3561253561253561
antidepressiva,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,387,0.3669250645994832
baan,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,387,0.3953488372093023
intake-bedrijf,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,445,0.40224719101123596
misbruik,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,366,0.3633879781420765
studie,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,381,0.37270341207349084
vrijheden,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_Low,369,0.34688346883468835
abdomen,Dokter Patient,gt,transcript_Gemini_3.1_Pro_Low,285,0.4105263157894737
ademhaling,Dokter Patient,gt,transcript_Gemini_3.1_Pro_Low,106,0.42452830188679247
auto-immuunziekten,Dokter Patient,gt,transcript_Gemini_3.1_Pro_Low,128,0.4765625
bewegingsapparaat,Dokter Patient,gt,transcript_Gemini_3.1_Pro_Low,164,0.4878048780487805
diabetes,Dokter Patient,gt,transcript_Gemini_3.1_Pro_Low,147,0.4421768707482993
hartziekten,Dokter Patient,gt,transcript_Gemini_3.1_Pro_Low,185,0.41621621621621624
neurologie,Dokter Patient,gt,transcript_Gemini_3.1_Pro_Low,213,0.4272300469483568
oncologie,Dokter Patient,gt,transcript_Gemini_3.1_Pro_Low,240,0.3541666666666667
GGZ-exposure-therapie,interviews,gt,transcript_Gemini_3.1_Pro_Low,87,0.6551724137931034
hulpverleners,interviews,gt,transcript_Gemini_3.1_Pro_Low,102,0.7352941176470589
interview-113,interviews,gt,transcript_Gemini_3.1_Pro_Low,124,0.6290322580645161
ouder-worden-2040,interviews,gt,transcript_Gemini_3.1_Pro_Low,119,0.6218487394957983
ouderen-zorg,interviews,gt,transcript_Gemini_3.1_Pro_Low,117,0.6239316239316239
seksuele-voorlichting,interviews,gt,transcript_Gemini_3.1_Pro_Low,104,0.6346153846153846
verzorgings-staat,interviews,gt,transcript_Gemini_3.1_Pro_Low,110,0.5545454545454546
