name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro_(Low),428,"[0.70469, 0.70884, 0.70676]",0.27293064876957496,0.043260072778865226,1.1775700934579438,0.0,0.6420049128078279
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_(Low),544,"[0.65535, 0.61717, 0.63569]",0.22554890219560877,0.06599822537710737,1.0588235294117647,0.0,0.39927938474076136
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro_(Low),553,"[0.72683, 0.68016, 0.70272]",0.25748502994011974,0.06777284826974268,1.1247739602169982,0.0,0.30923662583033246
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro_(Low),386,"[0.74697, 0.77902, 0.76266]",0.23151750972762647,0.051098137336669444,1.121761658031088,0.0,0.28779062752922374
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro_(Low),492,"[0.66763, 0.6729, 0.67026]",0.20233463035019456,0.06573996849226207,1.1016260162601625,0.0,0.30799209692136004
kpni-arts,interviews,gt,transcript_Gemini_3.1_Pro_(Low),448,"[1.0, 1.0, 1.0]",1.0,0.042524401939018144,0.984375,0.0,0.5976305627822875
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro_(Low),521,"[0.62344, 0.65651, 0.63955]",0.245136186770428,0.07345009730330831,1.0460652591170825,0.0,0.27205935258556296
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro_(Low),427,"[0.67496, 0.72139, 0.6974]",0.1789709172259508,0.04365418215735474,1.269320843091335,0.0,0.6618776147564253
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro_(Low),491,"[0.66689, 0.67347, 0.67016]",0.21029082774049218,0.050340904612393426,1.1181262729124237,0.0,0.6109834346506331
ouderen-zorg-2,interviews,gt,transcript_Gemini_3.1_Pro_(Low),502,"[1.0, 1.0, 1.0]",1.0,0.06165039929015084,1.2350597609561753,0.0,0.25456288425872725
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro_(Low),410,"[0.61747, 0.58916, 0.60298]",0.17764471057884232,0.04940550133096717,1.1365853658536584,0.0,0.3256074026936576
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro_(Low),505,"[0.71423, 0.71363, 0.71393]",0.24124513618677043,0.06866833472338059,1.194059405940594,0.0,0.2861988802474958
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro_(Low),481,"[0.59025, 0.5804, 0.58529]",0.19760479041916168,0.05996450754214729,1.133056133056133,0.0,0.29011489708836263
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro_(Low),512,"[0.6755, 0.64013, 0.65734]",0.2055888223552894,0.06260869565217392,1.15625,0.0,0.3333276370167732
kpni-arts,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_(Low),451,"[0.6552, 0.63546, 0.64518]",0.21029082774049218,0.04583492071833003,1.0776053215077606,0.0,0.6190035218993822
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro_(Low),458,"[0.72965, 0.73211, 0.73088]",0.1789709172259508,0.04771350875579669,1.2139737991266375,0.0,0.6913058184660398
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro_(Low),550,"[0.78331, 0.76303, 0.77304]",0.22568093385214008,0.07102214808636827,1.069090909090909,0.0,0.2803953168568788
verpleegkundige gevangenis,interviews,gt,transcript_Gemini_3.1_Pro_(Low),515,"[1.0, 1.0, 1.0]",1.0,0.06755629691409508,1.141747572815534,0.0,0.2242808367258736
