name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_gpt-5.4 low,326,"[0.67976, 0.68361, 0.68168]",0.19484240687679083,0.02945310755244939,0.9785276073619632,0.0,0.5657108497360478
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_gpt-5.4 low,387,"[0.71728, 0.72028, 0.71877]",0.3436619718309859,0.04566104702750665,1.0981912144702843,0.0,0.44062948413193226
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.4 low,389,"[0.68569, 0.70856, 0.69694]",0.30140845070422534,0.04488021295474712,1.1953727506426735,0.0,0.39045544307340274
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.4 low,351,"[0.74292, 0.75548, 0.74915]",0.34502923976608185,0.04233157260680197,1.0455840455840455,0.0,0.3651008620285071
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.4 low,352,"[0.74687, 0.74184, 0.74434]",0.28362573099415206,0.04121953479751645,1.3267045454545454,0.0,0.31225749842174677
kpni-arts,interviews,gt,transcript_gpt-5.4 low,350,"[1.0, 1.0, 1.0]",1.0,0.03189658569908435,1.0542857142857143,0.0,0.5220422411248797
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.4 low,329,"[0.74549, 0.7343, 0.73985]",0.28362573099415206,0.037994625150588456,1.0243161094224924,0.0,0.34873479045927525
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.4 low,339,"[0.70578, 0.7161, 0.7109]",0.28653295128939826,0.029439970573166406,1.1504424778761062,0.0,0.5790042787790298
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.4 low,354,"[0.72491, 0.7265, 0.7257]",0.2693409742120344,0.03183090080266943,1.1440677966101696,0.0,0.5696545800437098
ouderen-zorg-2,interviews,gt,transcript_gpt-5.4 low,356,"[1.0, 1.0, 1.0]",1.0,0.0417036379769299,1.2078651685393258,0.0,0.4226274607436998
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_gpt-5.4 low,327,"[0.69918, 0.69774, 0.69846]",0.29014084507042254,0.03966282165039929,0.9908256880733946,0.0,0.37776778638362885
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_gpt-5.4 low,348,"[0.7594, 0.75996, 0.75968]",0.26900584795321636,0.0415716801037902,1.0632183908045978,0.0,0.35177200101315975
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.4 low,338,"[0.66004, 0.65262, 0.65631]",0.28732394366197184,0.04015971606033718,1.0029585798816567,0.0,0.40756604485213754
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.4 low,363,"[0.74835, 0.73023, 0.73918]",0.37464788732394366,0.04271517302573203,1.0798898071625345,0.0,0.3384263609414515
kpni-arts,interviews,Cohere Labs Transcribe,transcript_gpt-5.4 low,368,"[0.72517, 0.69261, 0.70852]",0.2664756446991404,0.03231696903613983,1.1603260869565217,0.0,0.5629136502742768
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.4 low,336,"[0.70592, 0.68921, 0.69746]",0.2521489971346705,0.030963860169992512,0.9940476190476191,0.0,0.5624608669591986
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_gpt-5.4 low,391,"[0.78409, 0.7839, 0.78399]",0.34502923976608185,0.047298674821610605,1.3145780051150895,0.0,0.3485920937359333
verpleegkundige gevangenis,interviews,gt,transcript_gpt-5.4 low,343,"[1.0, 1.0, 1.0]",1.0,0.04218330089889723,1.064139941690962,0.0,0.3574347985400395
