name,category,asr_model,genai_model,sum_num_words,coverage
abdomen,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,451,0.4146341463414634
ademhaling,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,253,0.28063241106719367
auto-immuunziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,318,0.2610062893081761
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,325,0.3261538461538461
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,351,0.26495726495726496
hartziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,326,0.26993865030674846
neurologie,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,415,0.29156626506024097
oncologie,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,433,0.2863741339491917
GGZ-exposure-therapie,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,278,0.7050359712230215
hulpverleners,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,271,0.6826568265682657
interview-113,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,260,0.5846153846153846
ouder-worden-2040,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,235,0.5617021276595745
ouderen-zorg,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,256,0.61328125
seksuele-voorlichting,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,231,0.6883116883116883
verzorgings-staat,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,316,0.6170886075949367
angststoornis,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,387,0.21188630490956073
antidepressiva,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,465,0.32903225806451614
baan,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,445,0.32134831460674157
intake-bedrijf,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,517,0.34622823984526113
misbruik,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,468,0.3162393162393162
studie,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,486,0.28189300411522633
vrijheden,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,485,0.2597938144329897
abdomen,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,450,0.33555555555555555
ademhaling,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,210,0.24285714285714285
auto-immuunziekten,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,340,0.27941176470588236
bewegingsapparaat,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,420,0.3119047619047619
diabetes,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,365,0.27123287671232876
hartziekten,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,381,0.2283464566929134
neurologie,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,417,0.2637889688249401
oncologie,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,377,0.2625994694960212
GGZ-exposure-therapie,interviews,gt,transcript_Gemini_3.5_Flash_High,181,0.6740331491712708
hulpverleners,interviews,gt,transcript_Gemini_3.5_Flash_High,240,0.7791666666666667
interview-113,interviews,gt,transcript_Gemini_3.5_Flash_High,248,0.6008064516129032
ouder-worden-2040,interviews,gt,transcript_Gemini_3.5_Flash_High,214,0.6121495327102804
ouderen-zorg,interviews,gt,transcript_Gemini_3.5_Flash_High,268,0.5746268656716418
seksuele-voorlichting,interviews,gt,transcript_Gemini_3.5_Flash_High,229,0.611353711790393
verzorgings-staat,interviews,gt,transcript_Gemini_3.5_Flash_High,270,0.6777777777777778
angststoornis,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,459,0.2679738562091503
antidepressiva,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,580,0.2810344827586207
baan,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,559,0.31305903398926654
intake-bedrijf,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,539,0.40816326530612246
misbruik,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,454,0.32819383259911894
studie,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,481,0.32432432432432434
vrijheden,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,546,0.27289377289377287
abdomen,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,424,0.32547169811320753
ademhaling,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,152,0.375
auto-immuunziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,289,0.4186851211072664
bewegingsapparaat,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,378,0.32275132275132273
diabetes,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,379,0.316622691292876
hartziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,364,0.23351648351648352
neurologie,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,422,0.2890995260663507
