name,category,asr_model,genai_model,sum_num_words,coverage
abdomen,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5.4 high,507,0.5325443786982249
ademhaling,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5.4 high,250,0.332
auto-immuunziekten,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5.4 high,488,0.44672131147540983
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5.4 high,480,0.4395833333333333
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5.4 high,418,0.46411483253588515
hartziekten,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5.4 high,426,0.39436619718309857
neurologie,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5.4 high,513,0.49707602339181284
oncologie,Dokter Patient,Cohere Labs Transcribe,transcript_GPT-5.4 high,472,0.4470338983050847
GGZ-exposure-therapie,interviews,Cohere Labs Transcribe,transcript_GPT-5.4 high,556,0.6996402877697842
hulpverleners,interviews,Cohere Labs Transcribe,transcript_GPT-5.4 high,681,0.788546255506608
interview-113,interviews,Cohere Labs Transcribe,transcript_GPT-5.4 high,586,0.6655290102389079
ouder-worden-2040,interviews,Cohere Labs Transcribe,transcript_GPT-5.4 high,616,0.6753246753246753
ouderen-zorg,interviews,Cohere Labs Transcribe,transcript_GPT-5.4 high,651,0.6159754224270353
seksuele-voorlichting,interviews,Cohere Labs Transcribe,transcript_GPT-5.4 high,556,0.7068345323741008
verzorgings-staat,interviews,Cohere Labs Transcribe,transcript_GPT-5.4 high,663,0.6711915535444947
angststoornis,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5.4 high,469,0.39658848614072495
antidepressiva,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5.4 high,691,0.4182344428364689
baan,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5.4 high,722,0.5304709141274239
intake-bedrijf,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5.4 high,726,0.5785123966942148
misbruik,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5.4 high,631,0.38193343898573695
studie,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5.4 high,662,0.4652567975830816
vrijheden,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_GPT-5.4 high,709,0.42595204513399154
abdomen,Dokter Patient,gt,transcript_GPT-5.4 high,454,0.5330396475770925
ademhaling,Dokter Patient,gt,transcript_GPT-5.4 high,252,0.27380952380952384
auto-immuunziekten,Dokter Patient,gt,transcript_GPT-5.4 high,464,0.4525862068965517
bewegingsapparaat,Dokter Patient,gt,transcript_GPT-5.4 high,494,0.44534412955465585
diabetes,Dokter Patient,gt,transcript_GPT-5.4 high,438,0.4383561643835616
