name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Sonnet-5,325,"[0.74806, 0.72187, 0.73473]",0.3869346733668342,0.6974789915966386,0.8738461538461538,0.0,0.34141798400216633
verzorgings-staat,interviews,NVIDIA Canary 1B v2,transcript_Sonnet-5,369,"[0.65206, 0.60869, 0.62963]",0.21739130434782608,0.09557326092393441,1.3739837398373984,0.0,0.29775428275267285
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Sonnet-5,324,"[0.7581, 0.77309, 0.76552]",0.2702020202020202,0.7909681833732467,0.5555555555555556,0.0,0.3416755177864903
hulpverleners,interviews,gt,transcript_Sonnet-5,509,"[1.0, 1.0, 1.0]",1.0,0.2560519443856306,2.4420432220039294,0.0,0.5072095227592132
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_Sonnet-5,152,"[0.75655, 0.76774, 0.7621]",0.425,0.9056420233463035,0.6381578947368421,0.0,0.109536853308479
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,532,"[0.65574, 0.65216, 0.65394]",0.4371859296482412,0.9981992797118847,0.7556390977443609,0.0,0.3772226180881262
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_Sonnet-5,615,"[0.65858, 0.68463, 0.67135]",0.2570694087403599,0.19543320070258452,1.2016260162601626,0.0,0.5218595027020483
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,171,"[0.72715, 0.72822, 0.72768]",0.455,1.1245136186770428,0.783625730994152,0.0,0.12794530019164085
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,528,"[0.75745, 0.75874, 0.75809]",0.4716636197440585,0.8278727445394112,0.6893939393939394,0.0,0.46471485706667104
abdomen,Dokter Patient,gt,transcript_Sonnet-5,420,"[1.0, 1.0, 1.0]",1.0,0.8741237427613533,1.361904761904762,0.0,0.448921221618851
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Sonnet-5,556,"[0.64867, 0.64036, 0.64449]",0.3903654485049834,0.5071566198733829,0.9550359712230215,0.0,0.4113318864898435
verzorgings-staat,interviews,gt,transcript_Sonnet-5,484,"[1.0, 1.0, 1.0]",1.0,0.12101182607452927,1.537190082644628,0.0,0.3213796935537282
diabetes,Dokter Patient,Qwen3 ASR 1.7B,transcript_Sonnet-5,422,"[0.77713, 0.75005, 0.76335]",0.33080808080808083,0.9668149161820048,0.7274881516587678,0.0,0.38530596904456615
intake-bedrijf,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Sonnet-5,588,"[0.79882, 0.79106, 0.79492]",0.3897810218978102,0.317332268370607,0.9795918367346939,0.0,0.32309712812064156
angststoornis,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Sonnet-5,434,"[0.76274, 0.74793, 0.75526]",0.5219512195121951,1.0179767359887204,0.5253456221198156,0.0,0.3353465770681699
interview-113,interviews,NVIDIA Canary 1B v2,transcript_Sonnet-5,294,"[0.69077, 0.73442, 0.71192]",0.2894211576846307,0.2523792314179015,1.4149659863945578,0.0,0.4677158092910593
misbruik,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Sonnet-5,534,"[0.68816, 0.67555, 0.6818]",0.3746268656716418,0.39746397694524493,0.653558052434457,0.0,0.41654084383377005
hartziekten,Dokter Patient,gt,transcript_Sonnet-5,393,"[1.0, 1.0, 1.0]",1.0,0.7584498834498834,0.6641221374045801,0.0,0.2828469017520547
ouder-worden-2040,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,441,"[0.73864, 0.7252, 0.73185]",0.3874709976798144,0.2948304419841339,1.7596371882086168,0.0,0.48418857595499826
diabetes,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,405,"[0.77368, 0.75774, 0.76563]",0.35858585858585856,1.0321587410195006,0.725925925925926,0.0,0.31890184193849563
bewegingsapparaat,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,400,"[0.71423, 0.70623, 0.71021]",0.38944723618090454,0.8553421368547419,0.8775,0.0,0.35421110518897575
hartziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Sonnet-5,313,"[0.72641, 0.71955, 0.72296]",0.3163265306122449,0.6145104895104895,0.6293929712460063,0.0,0.37906833698875025
vrijheden,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Sonnet-5,585,"[0.6978, 0.69771, 0.69776]",0.3165905631659056,0.5607370659107016,0.6136752136752137,0.0,0.34512550267390907
verzorgings-staat,interviews,Qwen3 ASR 1.7B,transcript_Sonnet-5,391,"[0.65733, 0.6405, 0.6488]",0.2443064182194617,0.10171853228053879,1.411764705882353,0.0,0.2658117562532425
oncologie,Dokter Patient,Whisper-large-v3-fast,transcript_Sonnet-5,554,"[0.753, 0.77536, 0.76402]",0.5904059040590406,1.1064453125,1.0794223826714802,0.0,0.4417133522370169
intake-bedrijf,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Sonnet-5,647,"[0.7261, 0.72866, 0.72738]",0.3197080291970803,0.345926517571885,1.044822256568779,0.0,0.34439521008992896
studie,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Sonnet-5,458,"[0.51529, 0.50515, 0.51017]",0.2757475083056478,0.407514450867052,0.7969432314410481,0.0,0.4026593124637237
studie,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Sonnet-5,536,"[0.58955, 0.5889, 0.58922]",0.3222591362126246,0.4578860445912469,0.9029850746268657,0.0,0.3834968141659542
auto-immuunziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Sonnet-5,344,"[0.6954, 0.72691, 0.7108]",0.33787465940054495,0.6928920238741183,0.811046511627907,0.0,0.42675040252506735
seksuele-voorlichting,interviews,gt,transcript_Sonnet-5,438,"[1.0, 1.0, 1.0]",1.0,0.20080889787664308,1.5639269406392695,0.0,0.25691978881756466
abdomen,Dokter Patient,NVIDIA Canary 1B v2,transcript_Sonnet-5,551,"[0.73964, 0.75277, 0.74615]",0.47494033412887826,1.1011886619932947,0.9872958257713249,0.0,0.47088367638714385
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,989,"[0.7084, 0.7166, 0.71247]",0.3781021897810219,0.5106230031948882,0.8998988877654196,0.0,0.29147713802133995
GGZ-exposure-therapie,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Sonnet-5,305,"[0.56959, 0.60661, 0.58752]",0.23393316195372751,0.09768075420296089,1.383606557377049,0.0,0.5026960384387237
vrijheden,Psychologische gespreksvoering,gt,transcript_Sonnet-5,658,"[1.0, 1.0, 1.0]",1.0,0.5934798015591779,0.6550151975683891,0.0,0.3332956460688044
hulpverleners,interviews,NVIDIA Canary 1B v2,transcript_Sonnet-5,355,"[0.82429, 0.8221, 0.8232]",0.4389763779527559,0.1879455148563766,2.608450704225352,0.0,0.4367614205587994
ademhaling,Dokter Patient,NVIDIA Canary 1B v2,transcript_Sonnet-5,191,"[0.73457, 0.73995, 0.73725]",0.53,1.11284046692607,0.7801047120418848,0.0,0.08694451302289963
ouder-worden-2040,interviews,Whisper-large-v3-fast,transcript_Sonnet-5,358,"[0.75875, 0.75441, 0.75657]",0.37587006960556846,0.23616075320373114,1.6256983240223464,0.0,0.5059258685662196
