name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,401,"[0.74702, 0.75373, 0.75036]",0.15619967793880837,0.04234048422905637,0.9750623441396509,0.0,0.6156420124613721
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,511,"[0.75982, 0.71592, 0.73722]",0.22606924643584522,0.06365572315882875,1.2172211350293543,0.0,0.27814241563496384
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro-high,417,"[0.66882, 0.63515, 0.65155]",0.20570264765784113,0.052244897959183675,1.026378896882494,0.0,0.287489815836861
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro-high,567,"[0.73837, 0.75008, 0.74418]",0.3090909090909091,0.0766935409137244,1.2962962962962963,0.0,0.2734842597058526
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro-high,563,"[0.68391, 0.68477, 0.68434]",0.2690909090909091,0.07719395792790289,1.0728241563055063,0.0,0.2783598617233079
kpni-arts,interviews,gt,transcript_Gemini_3.1_Pro-high,622,"[1.0, 1.0, 1.0]",1.0,0.06418728077665821,1.017684887459807,0.0,0.5898325837710324
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro-high,501,"[0.78954, 0.79399, 0.79176]",0.22,0.06711148179038087,0.9820359281437125,0.0,0.2917834293842316
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro-high,523,"[0.64994, 0.68267, 0.6659]",0.20128824476650564,0.05447905308653328,1.0860420650095601,0.0,0.6095957435094393
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro-high,471,"[0.66548, 0.68129, 0.67329]",0.16264090177133655,0.05168087649925776,1.0806794055201698,0.0,0.5857928198575973
ouderen-zorg-2,interviews,gt,transcript_Gemini_3.1_Pro-high,492,"[1.0, 1.0, 1.0]",1.0,0.05755102040816327,1.4410569105691058,0.0,0.28701982776755874
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,527,"[0.70875, 0.67086, 0.68929]",0.22810590631364563,0.062182786157941435,1.2998102466793169,0.0,0.29659435762600467
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_Gemini_3.1_Pro-high,509,"[0.72459, 0.72896, 0.72677]",0.23454545454545456,0.06616624965248818,1.119842829076621,0.0,0.24755159474909305
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.1_Pro-high,517,"[0.68243, 0.66632, 0.67428]",0.2484725050916497,0.06094055013309672,1.241779497098646,0.0,0.29389618486166
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.1_Pro-high,552,"[0.72021, 0.69251, 0.70609]",0.2505091649694501,0.06716947648624667,1.039855072463768,0.0,0.31810253565864904
kpni-arts,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,522,"[0.74039, 0.72921, 0.73476]",0.18357487922705315,0.054492190065816265,1.2049808429118773,0.0,0.6060309487004434
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.1_Pro-high,439,"[0.72572, 0.73438, 0.73002]",0.20772946859903382,0.0488301519948503,1.173120728929385,0.0,0.6456225299172931
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_Gemini_3.1_Pro-high,551,"[0.80367, 0.81866, 0.81109]",0.2909090909090909,0.07419145584283199,1.116152450090744,0.0,0.2231040032846587
verpleegkundige gevangenis,interviews,gt,transcript_Gemini_3.1_Pro-high,551,"[1.0, 1.0, 1.0]",1.0,0.07293114632564174,1.012704174228675,0.0,0.2922588757106236
