name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_(Low),602,"[0.70919, 0.63173, 0.66822]",0.27640449438202247,0.06988872978547313,1.3006644518272426,0.0,0.6430500473294939
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_(Low),645,"[0.73454, 0.7424, 0.73845]",0.34232365145228216,0.08007098491570541,1.1426356589147286,0.0,0.3583606914166481
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_(Low),436,"[0.75559, 0.75988, 0.75773]",0.2676348547717842,0.06012422360248447,1.2591743119266054,0.0,0.32517643110907596
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_(Low),573,"[0.72312, 0.72536, 0.72424]",0.30327868852459017,0.08419979612640163,1.118673647469459,0.0,0.3119847122579813
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_(Low),593,"[0.65469, 0.66537, 0.65999]",0.32459016393442625,0.08870354925400797,1.087689713322091,0.0,0.32486335443598885
kpni-arts,interviews,gt,transcript_Gemini_3.5_Flash_(Low),446,"[1.0, 1.0, 1.0]",1.0,0.05476806663075892,1.0269058295964126,0.0,0.6785491695006688
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_(Low),659,"[0.6312, 0.62945, 0.63032]",0.2754098360655738,0.09461588360670929,1.2078907435508346,0.0,0.34805720336735246
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_(Low),579,"[0.66123, 0.68272, 0.67181]",0.2606741573033708,0.06753721049381906,1.2037996545768566,0.0,0.6773440012565026
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_(Low),788,"[0.74167, 0.66475, 0.7011]",0.27191011235955054,0.08627054295135377,1.2944162436548223,0.0,0.5866217748685316
ouderen-zorg-2,interviews,gt,transcript_Gemini_3.5_Flash_(Low),483,"[1.0, 1.0, 1.0]",1.0,0.06338952972493345,1.2443064182194616,0.0,0.282984786707422
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_(Low),373,"[0.71988, 0.74947, 0.73438]",0.23858921161825727,0.04910381543921916,1.1769436997319034,0.0,0.27383996107999015
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_(Low),492,"[0.69692, 0.70711, 0.70198]",0.33114754098360655,0.07404318413492725,1.1117886178861789,0.0,0.402093730866909
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_(Low),454,"[0.79937, 0.79618, 0.79777]",0.27385892116182575,0.06298136645962733,1.0374449339207048,0.0,0.3660927315553029
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_(Low),544,"[0.75848, 0.74584, 0.75211]",0.34854771784232363,0.0748890860692103,1.2720588235294117,0.0,0.3026258222482823
kpni-arts,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_(Low),687,"[0.67826, 0.63358, 0.65516]",0.23370786516853934,0.07708779443254818,1.3959243085880642,0.0,0.6376950442790985
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_(Low),697,"[0.70896, 0.69129, 0.70001]",0.28314606741573034,0.07217456418071229,1.327116212338594,0.0,0.646361754490779
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_(Low),455,"[0.7328, 0.754, 0.74325]",0.2934426229508197,0.06961356686127328,1.0593406593406594,0.0,0.3746690661646426
verpleegkundige gevangenis,interviews,gt,transcript_Gemini_3.5_Flash_(Low),611,"[1.0, 1.0, 1.0]",1.0,0.08672041516078213,0.9509001636661211,0.0,0.36538822224570644
