name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_Low,442,"[0.67612, 0.66715, 0.6716]",0.37,0.8163265306122449,1.2352941176470589,0.0,0.3820596768387726
verzorgings-staat,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_Low,366,"[0.6987, 0.67144, 0.6848]",0.26907630522088355,0.09160741719961413,1.4480874316939891,0.0,0.3718826735720915
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_Low,260,"[0.67603, 0.6788, 0.67741]",0.17929292929292928,0.603489565514882,0.8538461538461538,0.0,0.2888855873828843
hulpverleners,interviews,gt,transcript_Gemini_3.5_Flash_Low,566,"[1.0, 1.0, 1.0]",1.0,0.29042275389935773,1.7862190812720848,0.0,0.5185706201812317
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_Low,162,"[0.88609, 0.89219, 0.88913]",0.6625,0.9299610894941635,0.8641975308641975,0.0,0.21929117581910557
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_Low,465,"[0.67814, 0.68616, 0.68213]",0.348,0.8835534213685474,1.3311827956989248,0.0,0.3561394048233827
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_Low,451,"[0.78708, 0.79409, 0.79057]",0.28383458646616544,0.1248879807864645,1.1951219512195121,0.0,0.5719357512650951
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_Low,132,"[0.82048, 0.81862, 0.81955]",0.5,0.7889105058365758,0.8939393939393939,0.0,0.21739739272743464
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_Low,440,"[0.72337, 0.7362, 0.72973]",0.36554621848739494,0.664292497625831,0.5772727272727273,0.0,0.369082510471344
abdomen,Dokter Patient,gt,transcript_Gemini_3.5_Flash_Low,475,"[1.0, 1.0, 1.0]",1.0,0.9259372142639439,0.7452631578947368,0.0,0.43738780862518717
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_Low,263,"[0.55502, 0.51919, 0.53651]",0.22141119221411193,0.22309386182218552,1.3346007604562737,0.0,0.3353929838631302
verzorgings-staat,interviews,gt,transcript_Gemini_3.5_Flash_Low,499,"[1.0, 1.0, 1.0]",1.0,0.13194469255779057,1.1062124248496994,0.0,0.4099547055003972
diabetes,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_Low,429,"[0.68824, 0.68855, 0.68839]",0.21717171717171718,0.89804994868286,0.9743589743589743,0.0,0.2891516191512346
intake-bedrijf,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_Low,672,"[0.72396, 0.69429, 0.70881]",0.40942562592047127,0.32891373801916934,1.0074404761904763,0.0,0.31425911017826624
angststoornis,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_Low,280,"[0.73165, 0.78564, 0.75769]",0.3351206434316354,0.6355304899541769,0.7607142857142857,0.0,0.2794106790707225
interview-113,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_Low,493,"[0.68987, 0.67122, 0.68042]",0.40389294403892945,0.3986266714853632,1.2941176470588236,0.0,0.5037476939539756
misbruik,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_Low,539,"[0.60247, 0.5632, 0.58217]",0.34672619047619047,0.34927953890489916,0.8515769944341373,0.0,0.34542262595560813
hartziekten,Dokter Patient,gt,transcript_Gemini_3.5_Flash_Low,367,"[1.0, 1.0, 1.0]",1.0,0.6582167832167832,0.6512261580381471,0.0,0.307357160449028
ouder-worden-2040,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_Low,420,"[0.60081, 0.60083, 0.60082]",0.2884012539184953,0.2712056490279836,1.2809523809523808,0.0,0.5529109978157541
diabetes,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_Low,489,"[0.74348, 0.72144, 0.73229]",0.29292929292929293,1.0328429695518304,1.3885480572597138,0.0,0.3318338518962264
bewegingsapparaat,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_Low,468,"[0.78645, 0.8156, 0.80076]",0.416,0.9006602641056423,0.7606837606837606,0.0,0.2832470192543922
hartziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_Low,355,"[0.82263, 0.79881, 0.81055]",0.5,0.638986013986014,0.6028169014084507,0.0,0.3377204120159149
vrijheden,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_Low,608,"[0.72837, 0.72524, 0.7268]",0.2830820770519263,0.5218993621545004,0.618421052631579,0.0,0.3228270475040464
verzorgings-staat,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_Low,506,"[0.70352, 0.71547, 0.70945]",0.3253012048192771,0.12294115545392834,1.3735177865612649,0.0,0.35934860889728254
oncologie,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_Low,377,"[0.99025, 0.99269, 0.99147]",0.9946808510638298,0.78125,0.7374005305039788,0.0,0.4753122519701719
intake-bedrijf,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_Low,636,"[0.76991, 0.76067, 0.76526]",0.3446244477172312,0.3189297124600639,0.8238993710691824,0.0,0.28717350467078145
