name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,325,"[0.73897, 0.73998, 0.73947]",0.4892601431980907,0.6107442977190877,0.6584615384615384,0.0,0.35567485317587855
verzorgings-staat,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,448,"[0.5614, 0.58517, 0.57304]",0.3382899628252788,0.11047197113151595,1.5491071428571428,0.0,0.35023502353578806
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,351,"[0.73535, 0.7442, 0.73975]",0.5274725274725275,0.776599384194321,0.4188034188034188,0.0,0.3242595632277105
hulpverleners,interviews,gt,transcript_Gemini_3.5_Flash_High,240,"[1.0, 1.0, 1.0]",1.0,0.12604982708730328,2.5458333333333334,0.0,0.4874787092208862
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,112,"[0.76454, 0.78889, 0.77653]",0.31100478468899523,0.6634241245136187,0.7232142857142857,0.0,0.2705572210252285
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,419,"[0.76574, 0.76397, 0.76485]",0.5369928400954654,0.7722088835534213,0.513126491646778,0.0,0.3462181467691372
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,273,"[0.68319, 0.69371, 0.68841]",0.3888888888888889,0.07907660321898412,1.1465201465201464,0.0,0.6287767951903136
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,144,"[0.76762, 0.76705, 0.76734]",0.2727272727272727,0.8180933852140078,0.8472222222222222,0.0,0.26399917639791964
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,436,"[0.72734, 0.74558, 0.73635]",0.4735576923076923,0.6752136752136753,0.4954128440366973,0.0,0.4325796871313027
abdomen,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,450,"[1.0, 1.0, 1.0]",1.0,0.819871990246876,0.7177777777777777,0.0,0.4525382884398655
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,365,"[0.53894, 0.52543, 0.5321]",0.4166666666666667,0.3272777319020094,0.5972602739726027,0.0,0.2813460035693078
verzorgings-staat,interviews,gt,transcript_Gemini_3.5_Flash_High,270,"[1.0, 1.0, 1.0]",1.0,0.06549001393404552,1.2777777777777777,0.0,0.4008232032259305
diabetes,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,289,"[0.77422, 0.77175, 0.77299]",0.4532967032967033,0.6147793362983236,0.532871972318339,0.0,0.3348029654783507
intake-bedrijf,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,399,"[0.68073, 0.69097, 0.68581]",0.2955390334572491,0.20175718849840255,0.6516290726817042,0.0,0.3013883189608653
angststoornis,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,342,"[0.67953, 0.64748, 0.66312]",0.45414847161572053,0.799788508988368,0.4269005847953216,0.0,0.3031104834456193
interview-113,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,382,"[0.78864, 0.77068, 0.77956]",0.39271255060728744,0.315504156125768,0.9685863874345549,0.0,0.4978136132657528
misbruik,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,429,"[0.62963, 0.63379, 0.63171]",0.44370860927152317,0.29729106628242075,0.7622377622377622,0.0,0.3892649618908763
hartziekten,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,381,"[1.0, 1.0, 1.0]",1.0,0.682983682983683,0.4015748031496063,0.0,0.31333361265973914
ouder-worden-2040,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,306,"[0.57955, 0.59238, 0.5859]",0.28169014084507044,0.2010286810217069,1.2189542483660132,0.0,0.5319984869824516
diabetes,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,298,"[0.70327, 0.68749, 0.69529]",0.4340659340659341,0.6568593910366062,0.34563758389261745,0.0,0.33292033728212117
bewegingsapparaat,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,346,"[0.73065, 0.70823, 0.71927]",0.5083532219570406,0.6455582232893158,0.661849710982659,0.0,0.3236165317180364
hartziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,326,"[0.75767, 0.77472, 0.7661]",0.5394736842105263,0.5815850815850816,0.4723926380368098,0.0,0.3526889599031872
vrijheden,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,282,"[0.61, 0.62414, 0.61699]",0.3743119266055046,0.2659107016300496,0.599290780141844,0.0,0.2500223418963807
verzorgings-staat,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,439,"[0.5196, 0.52117, 0.52038]",0.2936802973977695,0.11057915609703813,1.6287015945330297,0.0,0.36482762545347214
oncologie,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,340,"[0.64219, 0.67111, 0.65633]",0.35638297872340424,0.6676432291666666,0.46176470588235297,0.0,0.4524173937324021
intake-bedrijf,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,375,"[0.68437, 0.70303, 0.69358]",0.31226765799256506,0.19161341853035144,0.768,0.0,0.23728460669517518
studie,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,406,"[0.53652, 0.51722, 0.52669]",0.3770833333333333,0.3622350674373796,0.5665024630541872,0.0,0.33309381812810895
studie,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,486,"[0.56974, 0.53429, 0.55145]",0.42916666666666664,0.415083952656207,0.5082304526748971,0.0,0.3260437808930874
auto-immuunziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,230,"[0.71311, 0.72248, 0.71777]",0.41887905604719766,0.4096581660336408,0.6782608695652174,0.0,0.38464655194963726
seksuele-voorlichting,interviews,gt,transcript_Gemini_3.5_Flash_High,229,"[1.0, 1.0, 1.0]",1.0,0.1172901921132457,1.3362445414847162,0.0,0.2874784453638962
abdomen,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,424,"[0.71612, 0.73462, 0.72525]",0.5167037861915368,0.8037183785431271,0.5707547169811321,0.0,0.4468272964245287
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,517,"[0.71031, 0.71684, 0.71356]",0.3680297397769517,0.2702875399361022,0.7059961315280464,0.0,0.31981555458444816
GGZ-exposure-therapie,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,355,"[0.63495, 0.64801, 0.64142]",0.4388888888888889,0.09520736996809692,1.208450704225352,0.0,0.58819126134569
vrijheden,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,546,"[1.0, 1.0, 1.0]",1.0,0.4966690290574061,0.4413919413919414,0.0,0.3180767155438662
hulpverleners,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,373,"[0.75194, 0.73108, 0.74136]",0.39748953974895396,0.20382525231138401,1.482573726541555,0.0,0.4806437842223955
ademhaling,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,152,"[0.76706, 0.76438, 0.76572]",0.3014354066985646,0.8647859922178989,0.7697368421052632,0.0,0.2887123316526413
ouder-worden-2040,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,305,"[0.54809, 0.57113, 0.55937]",0.27230046948356806,0.19710574492197716,1.2524590163934426,0.0,0.5364074774763801
misbruik,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,501,"[0.65515, 0.68127, 0.66795]",0.47902869757174393,0.368299711815562,0.6387225548902196,0.0,0.44277312833329907
auto-immuunziekten,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,340,"[1.0, 1.0, 1.0]",1.0,0.5661964188822571,0.5029411764705882,0.0,0.35010740016069675
GGZ-exposure-therapie,interviews,gt,transcript_Gemini_3.5_Flash_High,181,"[1.0, 1.0, 1.0]",1.0,0.05749722192350432,1.1823204419889504,0.0,0.6016230106353759
vrijheden,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,485,"[0.66388, 0.68925, 0.67633]",0.5137614678899083,0.45598866052445075,0.41649484536082476,0.0,0.2834851880056354
oncologie,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,377,"[1.0, 1.0, 1.0]",1.0,0.7291666666666666,0.47480106100795755,0.0,0.3876362893553007
oncologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,231,"[0.64042, 0.6675, 0.65368]",0.20212765957446807,0.4755859375,0.7142857142857143,0.0,0.2967174398628148
misbruik,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,454,"[1.0, 1.0, 1.0]",1.0,0.31412103746397696,0.6585903083700441,0.0,0.4297615018757907
diabetes,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,379,"[0.71931, 0.69656, 0.70775]",0.4945054945054945,0.7680465275401984,0.5593667546174143,0.0,0.3152277758000074
oncologie,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,433,"[0.61763, 0.65738, 0.63689]",0.375,0.8528645833333334,0.49884526558891457,0.0,0.3578144477473365
baan,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,520,"[0.67214, 0.67694, 0.67453]",0.492831541218638,0.19661578076144934,0.5480769230769231,0.0,0.3796444907784462
intake-bedrijf,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,517,"[0.66642, 0.68663, 0.67637]",0.37732342007434944,0.25095846645367414,0.7098646034816247,0.0,0.3622360872104764
antidepressiva,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,317,"[0.66528, 0.66857, 0.66692]",0.35578583765112265,0.25782547591669863,0.555205047318612,0.0,0.2750771399587393
GGZ-exposure-therapie,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,299,"[0.68096, 0.69017, 0.68553]",0.39444444444444443,0.08925690934509087,1.2608695652173914,0.0,0.47757970151447116
hartziekten,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,328,"[0.69308, 0.71975, 0.70616]",0.49473684210526314,0.585955710955711,0.5121951219512195,0.0,0.30075308680534363
ouder-worden-2040,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,353,"[0.54864, 0.56796, 0.55813]",0.3192488262910798,0.22787899921541277,1.2974504249291785,0.0,0.529711352288723
abdomen,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,451,"[0.77062, 0.76919, 0.76991]",0.6146993318485523,0.8771715940262115,0.8713968957871396,0.0,0.4564812694891141
antidepressiva,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,378,"[0.64954, 0.64792, 0.64873]",0.3799654576856649,0.3075252331672416,0.6084656084656085,0.0,0.3013292010873556
baan,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,418,"[0.72516, 0.72812, 0.72664]",0.45878136200716846,0.171724603028631,0.507177033492823,0.0,0.4014860348155101
verzorgings-staat,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,316,"[0.67275, 0.68394, 0.6783]",0.32342007434944237,0.07653006538282897,1.25,0.0,0.3509925115853548
seksuele-voorlichting,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,385,"[0.65832, 0.63626, 0.64711]",0.42543859649122806,0.17883383889450624,1.4727272727272727,0.0,0.3026503067463636
baan,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,297,"[0.71806, 0.72927, 0.72362]",0.4265232974910394,0.1289313959904359,0.5723905723905723,0.0,0.4159862920641899
seksuele-voorlichting,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,276,"[0.69986, 0.69446, 0.69715]",0.3815789473684211,0.14229861813279407,1.2173913043478262,0.0,0.3484431859992799
seksuele-voorlichting,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,231,"[0.81177, 0.80812, 0.80994]",0.4298245614035088,0.13043478260869565,1.4415584415584415,0.0,0.3270510961612066
neurologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,259,"[0.74334, 0.77023, 0.75655]",0.3942307692307692,0.404320987654321,0.5907335907335908,0.0,0.2644112411026771
auto-immuunziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,318,"[0.64749, 0.66243, 0.65487]",0.4690265486725664,0.5672816060770483,0.5062893081761006,0.0,0.3799797454002229
ouderen-zorg,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,256,"[0.65497, 0.65343, 0.6542]",0.23595505617977527,0.05974815204370818,1.08984375,0.0,0.4249921186881907
diabetes,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,438,"[0.65595, 0.65419, 0.65507]",0.5082417582417582,0.9490249743414301,0.4794520547945205,0.0,0.3097993493850889
ouderen-zorg,interviews,gt,transcript_Gemini_3.5_Flash_High,268,"[1.0, 1.0, 1.0]",1.0,0.05913460133812487,1.0149253731343284,0.0,0.39763392782525014
angststoornis,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,275,"[0.70273, 0.69446, 0.69857]",0.388646288209607,0.6439901304194572,0.4727272727272727,0.0,0.2639989388224326
intake-bedrijf,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,539,"[1.0, 1.0, 1.0]",1.0,0.2772364217252396,0.8719851576994434,0.0,0.37004339873142866
neurologie,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,415,"[0.7759, 0.78404, 0.77995]",0.5216346153846154,0.6331908831908832,0.5807228915662651,0.0,0.3758889955023061
oncologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,394,"[0.69601, 0.71417, 0.70498]",0.3803191489361702,0.7672526041666666,0.5812182741116751,0.0,0.31780334245413544
baan,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,493,"[0.69241, 0.6857, 0.68904]",0.48566308243727596,0.19545092269020906,0.6247464503042597,0.0,0.4079856098844455
angststoornis,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,429,"[0.6767, 0.62865, 0.65179]",0.4737991266375546,1.051110327811068,0.3752913752913753,0.0,0.33060564573567647
interview-113,interviews,gt,transcript_Gemini_3.5_Flash_High,248,"[1.0, 1.0, 1.0]",1.0,0.20033730875798098,1.2862903225806452,0.0,0.4371959600183699
ouder-worden-2040,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,235,"[0.6114, 0.62761, 0.6194]",0.26291079812206575,0.16153779095109405,1.1063829787234043,0.0,0.5474552810192108
ouder-worden-2040,interviews,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,338,"[0.56108, 0.56964, 0.56533]",0.2347417840375587,0.22674570656437973,1.28698224852071,0.0,0.5924431371688843
studie,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,481,"[1.0, 1.0, 1.0]",1.0,0.40476190476190477,0.5613305613305614,0.0,0.3175006288857687
hulpverleners,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,271,"[0.7199, 0.71145, 0.71565]",0.32217573221757323,0.15018702801891454,1.6715867158671587,0.0,0.4774453087764628
baan,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,559,"[1.0, 1.0, 1.0]",1.0,0.21580528477714425,0.5134168157423972,0.0,0.4394284412264824
diabetes,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,365,"[1.0, 1.0, 1.0]",1.0,0.7779678412589806,0.3917808219178082,0.0,0.32567442502630384
interview-113,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,260,"[0.71118, 0.69057, 0.70072]",0.32388663967611336,0.20660161426334175,1.0615384615384615,0.0,0.42100649202863377
hartziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,241,"[0.76851, 0.77169, 0.7701]",0.45263157894736844,0.4361888111888112,0.4979253112033195,0.0,0.2852112138643861
neurologie,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,417,"[1.0, 1.0, 1.0]",1.0,0.6429249762583096,0.4364508393285372,0.0,0.33523266088394893
angststoornis,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,229,"[0.61695, 0.6, 0.60836]",0.3624454148471616,0.5854776172012689,0.4148471615720524,0.0,0.22738887928426266
baan,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,445,"[0.74209, 0.74628, 0.74418]",0.521505376344086,0.18478327509042977,0.5101123595505618,0.0,0.40307266924243706
studie,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,257,"[0.66209, 0.64519, 0.65353]",0.35833333333333334,0.24593999449490778,0.6108949416342413,0.0,0.23791258223354816
verzorgings-staat,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,337,"[0.67594, 0.64067, 0.65784]",0.3643122676579926,0.07820929650934295,1.3768545994065282,0.0,0.3881705765213285
hulpverleners,interviews,Qwen3 ASR 1.7B,transcript_Gemini_3.5_Flash_High,385,"[0.72841, 0.71526, 0.72178]",0.35564853556485354,0.20580139741689604,1.587012987012987,0.0,0.5113994783411423
seksuele-voorlichting,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,277,"[0.79601, 0.7456, 0.76998]",0.4692982456140351,0.13764745534209638,1.5090252707581226,0.0,0.32581397104594445
angststoornis,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,387,"[0.65645, 0.62628, 0.64101]",0.462882096069869,0.9161085653859711,0.2997416020671835,0.0,0.2980089300932984
oncologie,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,391,"[0.68082, 0.69782, 0.68921]",0.3776595744680851,0.7906901041666666,0.6086956521739131,0.0,0.3997027464210987
misbruik,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,411,"[0.66935, 0.70848, 0.68836]",0.36644591611479027,0.2906051873198847,0.5401459854014599,0.0,0.41922405287623404
hulpverleners,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,303,"[0.68888, 0.68084, 0.68484]",0.3305439330543933,0.15660949961182863,1.5973597359735974,0.0,0.4146137721836567
angststoornis,Psychologische gespreksvoering,gt,transcript_Gemini_3.5_Flash_High,459,"[1.0, 1.0, 1.0]",1.0,1.0190341910468805,0.4422657952069717,0.0,0.3188309342201267
vrijheden,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,437,"[0.65492, 0.6685, 0.66164]",0.42935779816513764,0.3992912827781715,0.4576659038901602,0.0,0.2732932505011558
antidepressiva,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,465,"[0.67816, 0.6758, 0.67698]",0.44041450777202074,0.3564584131851284,0.5526881720430108,0.0,0.32964265236148127
abdomen,Dokter Patient,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,401,"[0.76698, 0.77805, 0.77248]",0.5434298440979956,0.8067662298079854,0.6384039900249376,0.0,0.443262524329699
bewegingsapparaat,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,378,"[0.70566, 0.68707, 0.69624]",0.5369928400954654,0.6959783913565426,0.6666666666666666,0.0,0.3104592885535497
interview-113,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,276,"[0.73569, 0.72637, 0.731]",0.29554655870445345,0.2357547283459824,1.0507246376811594,0.0,0.45089222573571736
auto-immuunziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,289,"[0.70975, 0.7077, 0.70872]",0.46017699115044247,0.48833423765599565,0.8131487889273357,0.0,0.3146132110721535
auto-immuunziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,402,"[0.70735, 0.71342, 0.71037]",0.43952802359882004,0.6695604991861096,0.6268656716417911,0.0,0.44137611884910327
vrijheden,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,479,"[0.66659, 0.66247, 0.66452]",0.42935779816513764,0.43330970942593905,0.4551148225469729,0.0,0.27788996922650505
GGZ-exposure-therapie,interviews,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,278,"[0.6759, 0.70698, 0.69109]",0.36666666666666664,0.08083306448722084,1.3525179856115108,0.0,0.5339201142390569
bewegingsapparaat,Dokter Patient,gt,transcript_Gemini_3.5_Flash_High,420,"[1.0, 1.0, 1.0]",1.0,0.7656062424969988,0.6023809523809524,0.0,0.4356118737320815
vrijheden,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,416,"[0.64066, 0.65149, 0.64603]",0.4055045871559633,0.38837703756201275,0.37259615384615385,0.0,0.26415458181872964
ouderen-zorg,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,288,"[0.72923, 0.72915, 0.72919]",0.25842696629213485,0.06284512227189061,0.9340277777777778,0.0,0.3797738035454562
hartziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,364,"[0.72633, 0.71966, 0.72298]",0.5131578947368421,0.6622960372960373,0.3598901098901099,0.0,0.33999719026570135
antidepressiva,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,454,"[0.67482, 0.66438, 0.66956]",0.4697754749568221,0.3592691963715344,0.5837004405286343,0.0,0.2998966517356726
intake-bedrijf,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Gemini_3.5_Flash_High,505,"[0.67039, 0.68395, 0.6771]",0.28810408921933084,0.25471246006389775,0.5722772277227722,0.0,0.2487646876523892
verzorgings-staat,interviews,Whisper-large-v3-fast,transcript_Gemini_3.5_Flash_High,303,"[0.63995, 0.63225, 0.63608]",0.25650557620817843,0.07295723319875666,1.7227722772277227,0.0,0.38632556257976425
abdomen,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,459,"[0.68325, 0.69068, 0.68695]",0.5456570155902004,0.9137458092045109,0.5882352941176471,0.0,0.4534846909344196
hartziekten,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Gemini_3.5_Flash_High,406,"[0.73487, 0.75139, 0.74304]",0.47368421052631576,0.7345571095571095,0.3251231527093596,0.0,0.301621800288558
ademhaling,Dokter Patient,Cohere Labs Transcribe,transcript_Gemini_3.5_Flash_High,253,"[0.74318, 0.74063, 0.7419]",0.5933014354066986,1.4299610894941635,0.5573122529644269,0.0,0.30411645621061323
